Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
55.0,1,1,17.0,3,0,4,4.0,1,5.0,3,8.0,1,1,0,1.0,2,23118.0,0
39.0,1,1,9.0,2,1,3,4.0,0,3.0,3,7.0,1,4,0,2.0,1,22622.0,0
42.0,0,2,8.0,3,1,3,1.0,1,5.0,0,1.0,0,2,0,2.0,2,21272.0,0
37.0,1,1,12.0,2,0,3,5.0,0,5.0,0,2.0,1,2,1,1.0,1,98678.0,0
23.0,1,1,7.0,2,1,3,5.0,1,3.0,0,8.0,0,2,1,1.0,2,23453.0,0
33.0,0,1,31.0,2,1,4,4.0,1,3.0,0,3.0,0,4,1,1.0,2,23987.0,0
38.0,1,1,24.0,3,1,2,5.0,1,3.0,1,4.0,1,5,0,1.0,2,20811.0,0
60.0,1,1,9.0,2,0,4,5.0,4,3.0,2,5.0,1,5,0,3.0,0,32404.0,0
53.0,0,3,8.0,3,0,2,4.0,3,4.0,1,3.0,0,1,1,0.0,3,22525.0,0
37.0,1,1,33.0,2,1,4,4.0,1,3.0,1,8.0,0,3,1,1.0,2,24025.0,0
60.0,0,3,34.0,3,0,3,4.0,3,5.0,1,5.0,0,1,1,0.0,3,25266.0,0
43.0,1,1,36.0,3,1,3,6.0,1,3.0,3,6.0,0,3,1,2.0,2,22950.0,0
35.0,1,1,22.0,3,1,2,1.0,0,4.0,1,1.0,0,4,1,1.0,1,17426.0,0
43.0,1,1,10.0,2,0,4,2.0,1,3.0,1,4.0,1,5,1,1.0,2,23909.0,0
52.0,0,1,34.0,3,0,2,1.0,4,3.0,0,3.0,1,4,0,0.0,0,28247.0,0
59.0,0,1,9.0,2,1,3,5.0,0,3.0,1,2.0,1,2,0,1.0,1,21058.0,1
36.0,1,1,33.0,3,1,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0,0
29.0,0,1,23.0,3,1,3,4.0,0,3.0,2,3.0,0,3,0,1.0,1,20822.0,0
37.0,1,1,16.0,3,1,3,5.0,1,4.0,1,4.0,1,4,0,2.0,2,27525.0,0
38.0,1,1,8.0,2,1,2,3.0,1,3.0,0,1.0,0,2,0,1.0,2,21553.0,0
31.0,0,3,6.0,2,0,2,5.0,0,3.0,2,2.0,0,3,1,1.0,1,16359.0,1
46.0,1,3,16.0,3,1,4,4.0,3,5.0,1,6.0,1,2,1,1.0,3,29439.0,0
41.0,1,3,14.0,3,1,3,4.0,0,4.0,3,3.0,0,5,0,1.0,1,23339.0,1
35.0,1,1,13.0,2,1,3,3.0,0,4.0,2,2.0,1,3,1,1.0,1,20363.0,1
29.0,1,3,16.0,2,1,3,3.0,0,3.0,2,2.0,0,4,1,0.0,1,17642.0,0
51.0,1,3,27.0,3,1,3,3.0,1,3.0,2,1.0,1,5,0,2.0,2,20441.0,0
39.0,1,1,6.0,3,1,2,2.0,3,3.0,1,1.0,0,3,1,0.0,3,24613.0,0
37.0,1,3,22.0,3,1,3,4.0,1,3.0,1,5.0,0,5,1,2.0,2,21334.0,0
33.0,0,3,23.0,2,1,2,3.0,4,3.0,2,2.0,0,3,1,1.0,0,32444.0,0
51.0,0,3,19.0,3,0,4,4.0,3,3.0,3,6.0,0,5,1,3.0,3,27886.0,0
42.0,1,1,12.0,2,1,3,2.0,1,4.0,3,5.0,0,5,1,1.0,2,25548.0,0
33.0,1,3,15.0,1,0,4,5.0,1,4.0,0,3.0,1,2,1,1.0,2,23906.0,0
30.0,0,1,17.0,2,0,4,4.0,0,4.0,1,2.0,0,5,1,1.0,1,21969.0,0
41.0,1,3,7.0,3,1,3,6.0,1,3.0,0,4.0,1,3,1,1.0,2,26135.0,0
38.0,0,1,12.0,1,1,3,2.0,0,3.0,3,2.0,0,5,1,1.0,1,22178.0,0
28.0,0,3,9.0,2,1,3,6.0,1,3.0,3,5.0,0,4,1,2.0,2,23749.0,0
27.0,1,1,24.0,3,1,4,6.0,0,3.0,1,3.0,0,3,0,3.0,1,20983.0,0
27.0,1,1,11.0,2,0,2,3.0,0,4.0,2,2.0,1,3,0,1.0,1,17478.0,0
24.0,1,1,11.0,3,1,3,2.0,0,5.0,1,4.0,0,4,0,2.0,1,21497.0,0
34.0,0,1,22.0,2,0,3,4.0,0,3.0,2,2.0,0,5,1,2.0,1,17553.0,0
37.0,1,3,17.0,3,1,3,5.0,3,5.0,1,2.0,0,5,0,1.0,3,25772.0,1
34.0,0,1,7.0,3,1,3,4.0,1,5.0,2,1.0,0,1,0,0.0,2,20343.0,0
30.0,0,3,32.0,3,0,2,4.0,1,5.0,3,6.0,0,2,0,1.0,2,21696.0,1
27.0,1,1,23.0,1,1,2,3.0,0,4.0,1,1.0,1,4,0,0.0,1,18058.0,0
36.0,1,1,9.0,2,1,3,5.0,3,4.0,1,4.0,0,4,1,1.0,3,28952.0,0
40.0,1,1,30.0,1,1,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0,0
38.0,1,1,7.0,1,0,3,4.0,3,3.0,3,6.0,0,5,1,2.0,3,26169.0,0
33.0,1,3,9.0,3,1,3,5.0,1,4.0,2,2.0,1,1,1,1.0,2,28585.0,1
30.0,1,1,16.0,2,1,2,5.0,0,3.0,3,2.0,0,1,1,1.0,1,22661.0,0
52.0,1,1,6.0,2,1,3,3.0,4,3.0,1,3.0,0,1,1,2.0,0,32099.0,0
33.0,1,3,7.0,2,1,3,6.0,1,4.0,3,8.0,0,3,0,2.0,2,25413.0,1
20.0,0,1,17.0,3,0,4,5.0,0,4.0,2,3.0,1,5,0,3.0,1,20537.0,1
38.0,0,1,29.0,2,1,2,4.0,3,3.0,3,1.0,0,3,0,0.0,3,24526.0,0
31.0,1,1,17.0,2,1,2,3.0,0,3.0,1,4.0,1,3,0,0.0,1,17356.0,0
52.0,1,1,11.0,2,1,3,4.0,0,3.0,0,2.0,1,2,1,2.0,1,21139.0,1
39.0,1,1,10.0,1,0,3,4.0,1,3.0,3,5.0,1,5,1,1.0,2,22995.0,0
40.0,1,3,11.0,2,0,3,5.0,1,3.0,1,6.0,0,5,1,2.0,2,24580.0,0
26.0,1,1,26.0,3,1,4,4.0,0,3.0,0,5.0,0,5,1,3.0,1,22347.0,0
47.0,0,3,15.0,2,1,2,5.0,4,3.0,1,1.0,0,5,1,1.0,0,27936.0,1
28.0,1,3,16.0,3,1,3,3.0,0,4.0,1,2.0,0,5,0,2.0,1,16052.0,0
19.0,0,1,15.0,3,1,4,4.0,0,3.0,2,3.0,0,5,0,1.0,1,20582.0,1
52.0,1,3,9.0,3,1,2,4.0,4,5.0,1,2.0,0,5,1,0.0,0,31856.0,0
20.0,0,3,7.0,1,0,4,6.0,0,5.0,2,2.0,0,3,1,2.0,1,21003.0,1
43.0,1,3,15.0,3,1,3,4.0,1,4.0,0,2.0,0,3,0,2.0,2,25503.0,0
30.0,1,1,8.0,2,0,4,4.0,0,3.0,1,3.0,0,1,1,3.0,1,22438.0,0
51.0,0,3,7.0,2,1,4,4.0,1,3.0,1,2.0,0,3,1,2.0,2,25406.0,1
41.0,0,1,16.0,2,1,4,5.0,1,3.0,1,2.0,0,5,0,2.0,2,23554.0,0
33.0,0,3,15.0,3,0,3,4.0,3,3.0,3,3.0,0,4,1,2.0,3,27676.0,0
22.0,0,3,16.0,3,1,3,4.0,0,3.0,3,3.0,0,4,0,1.0,1,21288.0,0
40.0,1,1,16.0,2,0,2,1.0,0,3.0,1,4.0,1,3,0,1.0,1,17213.0,0
53.0,1,3,6.0,3,0,2,3.0,1,5.0,3,1.0,0,1,1,1.0,2,23381.0,0
29.0,0,1,9.0,3,1,3,5.0,0,5.0,2,2.0,0,4,0,1.0,1,21239.0,1
44.0,0,1,16.0,3,1,4,4.0,1,3.0,1,5.0,1,3,1,3.0,2,24357.0,0
23.0,1,1,13.0,3,1,4,4.0,0,3.0,0,2.0,0,2,1,1.0,1,21451.0,0
43.0,1,1,36.0,3,1,3,6.0,1,3.0,3,6.0,0,3,1,1.0,2,22950.0,0
33.0,0,3,23.0,2,1,2,3.0,4,3.0,2,2.0,0,3,1,0.0,0,32444.0,0
37.0,0,3,7.0,3,0,3,4.0,1,3.0,3,6.0,0,1,1,2.0,2,25331.0,0
37.0,1,1,16.0,2,0,2,1.0,3,3.0,1,2.0,1,1,0,1.0,3,28744.0,0
40.0,1,3,10.0,3,0,3,4.0,1,3.0,1,6.0,1,4,1,2.0,2,23916.0,1
36.0,1,1,7.0,2,0,3,2.0,0,3.0,2,5.0,0,3,1,2.0,1,21184.0,0
50.0,1,1,23.0,3,0,4,4.0,0,5.0,1,6.0,1,1,1,2.0,1,21265.0,0
21.0,0,3,6.0,1,0,3,4.0,0,4.0,2,2.0,1,5,1,2.0,1,17174.0,1
28.0,1,3,9.0,3,0,4,6.0,2,4.0,2,4.0,1,5,1,2.0,4,21195.0,1
52.0,1,1,15.0,2,1,3,5.0,3,4.0,0,7.0,0,3,1,2.0,3,31168.0,0
40.0,1,1,14.0,3,1,3,4.0,0,3.0,3,2.0,1,4,1,2.0,1,24094.0,1
29.0,1,1,12.0,3,0,2,3.0,0,3.0,1,2.0,0,3,0,1.0,1,18131.0,0
35.0,0,1,17.0,3,1,3,4.0,3,5.0,0,3.0,1,5,1,1.0,3,24884.0,0
38.0,1,3,13.0,3,1,4,4.0,1,3.0,1,6.0,0,3,1,1.0,2,25180.0,0
51.0,0,1,6.0,3,0,1,4.0,3,5.0,3,4.0,0,2,1,0.0,3,22484.0,0
22.0,0,3,16.0,3,1,3,4.0,0,3.0,3,3.0,0,4,1,1.0,1,21288.0,0
36.0,1,2,19.0,2,1,2,3.0,0,4.0,1,5.0,0,3,1,1.0,1,17143.0,0
